,Book,Author,Genre,Year Of publication,Average rating,Number of ratings,BookCover Image
1181,The Shadow of the Wind ,Carlos Ruiz Zafón,mystery,2001,4.26,374865,https://images.gr-assets.com/books/1344545047s/1232.jpg
1182,The Curious Incident of the Dog in the Night-Time ,Mark Haddon,mystery,2003,3.87,1034979,https://images.gr-assets.com/books/1479863624s/1618.jpg
1183,A is for Alibi ,Sue Grafton,mystery,1982,3.83,142916,https://images.gr-assets.com/books/1388198817s/64863.jpg
1184,Maisie Dobbs ,Jacqueline Winspear,mystery,2003,3.92,65885,https://images.gr-assets.com/books/1312066155s/462033.jpg
1185,The Thirteenth Tale ,Diane Setterfield,mystery,2006,3.95,246802,https://images.gr-assets.com/books/1346267826s/40440.jpg
1186,Two for the Dough ,Janet Evanovich,mystery,1996,4.11,136679,https://images.gr-assets.com/books/1330926461s/6427.jpg
1187,Crocodile on the Sandbank ,Elizabeth Peters,mystery,1975,4.02,54136,https://images.gr-assets.com/books/1532091568s/40881649.jpg
1188,The Lovely Bones ,Alice Sebold,mystery,2002,3.79,1812446,https://images.gr-assets.com/books/1457810586s/12232938.jpg
1189,The Sign of Four ,Arthur Conan Doyle,mystery,1890,3.95,85458,https://images.gr-assets.com/books/1299346921s/608474.jpg
1190,The Woman in Cabin 10 ,Ruth Ware,mystery,2016,3.68,243603,https://images.gr-assets.com/books/1465878007s/28187230.jpg
1191,Inferno ,Dan Brown,mystery,2013,3.83,406739,https://images.gr-assets.com/books/1534070896s/17212231.jpg
1192,The Complete Sherlock Holmes ,Arthur Conan Doyle,mystery,1927,4.51,153111,https://images.gr-assets.com/books/1548271954s/188572.jpg
1193,The Body in the Library ,Agatha Christie,mystery,1942,3.85,52128,https://images.gr-assets.com/books/1389733809s/16319.jpg
1194,Three to Get Deadly ,Janet Evanovich,mystery,1997,4.15,126449,https://images.gr-assets.com/books/1311727539s/6854.jpg
1195,The Weed That Strings the Hangman's Bag ,Alan Bradley,mystery,2010,3.99,43037,https://images.gr-assets.com/books/1388266442s/6777616.jpg
1196,We Were Liars ,E. Lockhart,mystery,2014,3.84,373308,https://images.gr-assets.com/books/1402749479s/16143347.jpg
1197,The Likeness ,Tana French,mystery,2008,4.06,97775,https://images.gr-assets.com/books/1538062804s/5941114.jpg
1198,Whose Body?  ,Dorothy L. Sayers,mystery,1923,3.89,36822,https://images.gr-assets.com/books/1387573241s/192893.jpg
1199,The Name of the Rose ,Umberto Eco,mystery,1980,4.12,257106,https://images.gr-assets.com/books/1415375471s/119073.jpg
1200,Twilight ,Stephenie Meyer,romance,2005,3.58,4356707,https://images.gr-assets.com/books/1361039443s/41865.jpg
1201,Pride and Prejudice ,Jane Austen,romance,1813,4.25,2516320,https://images.gr-assets.com/books/1320399351s/1885.jpg
1202,The Fault in Our Stars ,John Green,romance,2012,4.24,2961319,https://images.gr-assets.com/books/1360206420s/11870085.jpg
1203,Fifty Shades of Grey ,E.L. James,romance,2011,3.66,1638933,https://images.gr-assets.com/books/1385207843s/10818853.jpg
1204,New Moon ,Stephenie Meyer,romance,2006,3.53,1286572,https://images.gr-assets.com/books/1361039440s/49041.jpg
1205,Eclipse ,Stephenie Meyer,romance,2007,3.69,1260276,https://images.gr-assets.com/books/1361038355s/428263.jpg
1206,Outlander ,Diana Gabaldon,romance,1991,4.22,692454,https://images.gr-assets.com/books/1529065012s/10964.jpg
1207,Breaking Dawn ,Stephenie Meyer,romance,2008,3.7,1171677,https://images.gr-assets.com/books/1361039438s/1162543.jpg
1208,The Notebook ,Nicholas Sparks,romance,1996,4.08,1164506,https://images.gr-assets.com/books/1483183484s/33648131.jpg
1209,Eleanor & Park ,Rainbow Rowell,romance,2013,4.09,715368,https://images.gr-assets.com/books/1341952742s/15745753.jpg
1210,Me Before You ,Jojo Moyes,romance,2012,4.26,910886,https://images.gr-assets.com/books/1539892546s/17347634.jpg
1211,Fifty Shades Darker ,E.L. James,romance,2011,3.86,668524,https://images.gr-assets.com/books/1358266080s/11857408.jpg
1212,Jane Eyre ,Charlotte Brontë,romance,1847,4.11,1412428,https://images.gr-assets.com/books/1327867269s/10210.jpg
1213,The Time Traveler's Wife ,Audrey Niffenegger,romance,2003,3.96,1427754,https://images.gr-assets.com/books/1380660571s/18619684.jpg
1214,Fifty Shades Freed ,E.L. James,romance,2012,3.87,646622,https://images.gr-assets.com/books/1336418837s/13536860.jpg
1215,Beautiful Disaster ,Jamie McGuire,romance,2011,4.12,488830,https://images.gr-assets.com/books/1358259032s/11505797.jpg
1216,The Selection ,Kiera Cass,romance,2012,4.14,697945,https://images.gr-assets.com/books/1322103400s/10507293.jpg
1217,Anna and the French Kiss ,Stephanie Perkins,romance,2010,4.03,328539,https://images.gr-assets.com/books/1358271931s/6936382.jpg
1218,Romeo and Juliet ,William Shakespeare,romance,1597,3.74,1839316,https://images.gr-assets.com/books/1327872146s/18135.jpg
1219,A Walk to Remember ,Nicholas Sparks,romance,1999,4.16,594133,https://images.gr-assets.com/books/1498755310s/35545737.jpg
1220,Fangirl ,Rainbow Rowell,romance,2013,4.09,466749,https://images.gr-assets.com/books/1355886270s/16068905.jpg
1221,Wuthering Heights ,Emily Brontë,romance,1847,3.84,1147893,https://images.gr-assets.com/books/1388212715s/6185.jpg
1222,Sense and Sensibility ,Jane Austen,romance,1811,4.06,851808,https://images.gr-assets.com/books/1397245675s/14935.jpg
1223,Divergent ,Veronica Roth,romance,2011,4.21,2546604,https://images.gr-assets.com/books/1328559506s/13335037.jpg
1224,Bared to You ,Sylvia Day,romance,2012,4.19,417377,https://images.gr-assets.com/books/1433411511s/20448515.jpg
1225,A Court of Thorns and Roses ,Sarah J. Maas,romance,2015,4.27,303336,https://images.gr-assets.com/books/1546406962s/16096824.jpg
1226,City of Bones ,Cassandra Clare,romance,2007,4.11,1411272,https://images.gr-assets.com/books/1432730315s/256683.jpg
1227,The Elite ,Kiera Cass,romance,2013,4.02,328256,https://images.gr-assets.com/books/1391454595s/16248068.jpg
1228,To All the Boys I've Loved Before ,Jenny Han,romance,2014,4.15,291113,https://images.gr-assets.com/books/1372086100s/15749186.jpg
1229,Emma ,Jane Austen,romance,1815,3.99,557715,https://images.gr-assets.com/books/1373627931s/6969.jpg
1230,The Hunger Games ,Suzanne Collins,romance,2008,4.33,5633350,https://images.gr-assets.com/books/1447303603s/2767052.jpg
1231,Persuasion ,Jane Austen,romance,1817,4.13,461255,https://images.gr-assets.com/books/1385172413s/2156.jpg
1232,Dark Lover ,J.R. Ward,romance,2005,4.21,261373,https://images.gr-assets.com/books/1429676285s/42899.jpg
1233,Easy ,Tammara Webber,romance,2012,4.1,202897,https://images.gr-assets.com/books/1349370267s/16056408.jpg
1234,The One ,Kiera Cass,romance,2014,4.21,292372,https://images.gr-assets.com/books/1395612906s/18635016.jpg
1235,If I Stay ,Gayle Forman,romance,2009,3.95,642204,https://images.gr-assets.com/books/1347462970s/4374400.jpg
1236,Matched ,Ally Condie,romance,2010,3.67,588133,https://images.gr-assets.com/books/1367706191s/7735333.jpg
1237,Dear John ,Nicholas Sparks,romance,2006,4.03,496452,https://images.gr-assets.com/books/1397749854s/5526.jpg
1238,The Night Circus ,Erin Morgenstern,romance,2011,4.04,555896,https://images.gr-assets.com/books/1387124618s/9361589.jpg
1239,Hopeless ,Colleen Hoover,romance,2012,4.31,234396,https://images.gr-assets.com/books/1353489892s/15717943.jpg
1240,Dragonfly in Amber ,Diana Gabaldon,romance,1992,4.32,246395,https://images.gr-assets.com/books/1456114344s/5364.jpg
1241,The Hating Game ,Sally  Thorne,romance,2016,4.22,66745,https://images.gr-assets.com/books/1467138679s/25883848.jpg
1242,Catching Fire ,Suzanne Collins,romance,2009,4.29,2165870,https://images.gr-assets.com/books/1358273780s/6148028.jpg
1243,Perfect Chemistry ,Simone Elkeles,romance,2008,4.07,223317,https://images.gr-assets.com/books/1439792475s/4268157.jpg
1244,Delirium ,Lauren Oliver,romance,2011,3.98,386831,https://images.gr-assets.com/books/1327890411s/11614718.jpg
1245,Shiver ,Maggie Stiefvater,romance,2009,3.77,398091,https://images.gr-assets.com/books/1409283154s/6068551.jpg
1246,The Kiss Quotient ,Helen Hoang,romance,2018,3.96,46775,https://images.gr-assets.com/books/1527983633s/36199084.jpg
1247,The Host ,Stephenie Meyer,romance,2008,3.84,819670,https://images.gr-assets.com/books/1318009171s/1656001.jpg
1248,Cinder ,Marissa Meyer,romance,2012,4.15,565173,https://images.gr-assets.com/books/1507557775s/36381037.jpg
1249,The Princess Bride ,William Goldman,romance,1973,4.26,698403,https://images.gr-assets.com/books/1327903636s/21787.jpg
1250,Twilight ,Stephenie Meyer,romance,2005,3.58,4356707,https://images.gr-assets.com/books/1361039443s/41865.jpg
1251,Pride and Prejudice ,Jane Austen,romance,1813,4.25,2516320,https://images.gr-assets.com/books/1320399351s/1885.jpg
1252,The Fault in Our Stars ,John Green,romance,2012,4.24,2961319,https://images.gr-assets.com/books/1360206420s/11870085.jpg
1253,Fifty Shades of Grey ,E.L. James,romance,2011,3.66,1638933,https://images.gr-assets.com/books/1385207843s/10818853.jpg
1254,New Moon ,Stephenie Meyer,romance,2006,3.53,1286572,https://images.gr-assets.com/books/1361039440s/49041.jpg
1255,Eclipse ,Stephenie Meyer,romance,2007,3.69,1260276,https://images.gr-assets.com/books/1361038355s/428263.jpg
1256,Outlander ,Diana Gabaldon,romance,1991,4.22,692454,https://images.gr-assets.com/books/1529065012s/10964.jpg
1257,Breaking Dawn ,Stephenie Meyer,romance,2008,3.7,1171677,https://images.gr-assets.com/books/1361039438s/1162543.jpg
1258,The Notebook ,Nicholas Sparks,romance,1996,4.08,1164506,https://images.gr-assets.com/books/1483183484s/33648131.jpg
1259,Eleanor & Park ,Rainbow Rowell,romance,2013,4.09,715368,https://images.gr-assets.com/books/1341952742s/15745753.jpg
1260,Me Before You ,Jojo Moyes,romance,2012,4.26,910886,https://images.gr-assets.com/books/1539892546s/17347634.jpg
1261,Fifty Shades Darker ,E.L. James,romance,2011,3.86,668524,https://images.gr-assets.com/books/1358266080s/11857408.jpg
1262,Jane Eyre ,Charlotte Brontë,romance,1847,4.11,1412428,https://images.gr-assets.com/books/1327867269s/10210.jpg
1263,The Time Traveler's Wife ,Audrey Niffenegger,romance,2003,3.96,1427754,https://images.gr-assets.com/books/1380660571s/18619684.jpg
1264,Fifty Shades Freed ,E.L. James,romance,2012,3.87,646622,https://images.gr-assets.com/books/1336418837s/13536860.jpg
1265,Beautiful Disaster ,Jamie McGuire,romance,2011,4.12,488830,https://images.gr-assets.com/books/1358259032s/11505797.jpg
1266,The Selection ,Kiera Cass,romance,2012,4.14,697945,https://images.gr-assets.com/books/1322103400s/10507293.jpg
1267,Anna and the French Kiss ,Stephanie Perkins,romance,2010,4.03,328539,https://images.gr-assets.com/books/1358271931s/6936382.jpg
1268,Romeo and Juliet ,William Shakespeare,romance,1597,3.74,1839316,https://images.gr-assets.com/books/1327872146s/18135.jpg
1269,A Walk to Remember ,Nicholas Sparks,romance,1999,4.16,594133,https://images.gr-assets.com/books/1498755310s/35545737.jpg
1270,Fangirl ,Rainbow Rowell,romance,2013,4.09,466749,https://images.gr-assets.com/books/1355886270s/16068905.jpg
1271,Wuthering Heights ,Emily Brontë,romance,1847,3.84,1147893,https://images.gr-assets.com/books/1388212715s/6185.jpg
1272,Sense and Sensibility ,Jane Austen,romance,1811,4.06,851808,https://images.gr-assets.com/books/1397245675s/14935.jpg
1273,Divergent ,Veronica Roth,romance,2011,4.21,2546604,https://images.gr-assets.com/books/1328559506s/13335037.jpg
1274,Bared to You ,Sylvia Day,romance,2012,4.19,417377,https://images.gr-assets.com/books/1433411511s/20448515.jpg
1275,A Court of Thorns and Roses ,Sarah J. Maas,romance,2015,4.27,303336,https://images.gr-assets.com/books/1546406962s/16096824.jpg
1276,City of Bones ,Cassandra Clare,romance,2007,4.11,1411272,https://images.gr-assets.com/books/1432730315s/256683.jpg
1277,The Elite ,Kiera Cass,romance,2013,4.02,328256,https://images.gr-assets.com/books/1391454595s/16248068.jpg
1278,To All the Boys I've Loved Before ,Jenny Han,romance,2014,4.15,291113,https://images.gr-assets.com/books/1372086100s/15749186.jpg
1279,Emma ,Jane Austen,romance,1815,3.99,557715,https://images.gr-assets.com/books/1373627931s/6969.jpg
1280,The Hunger Games ,Suzanne Collins,romance,2008,4.33,5633350,https://images.gr-assets.com/books/1447303603s/2767052.jpg
1281,Persuasion ,Jane Austen,romance,1817,4.13,461255,https://images.gr-assets.com/books/1385172413s/2156.jpg
1282,Dark Lover ,J.R. Ward,romance,2005,4.21,261373,https://images.gr-assets.com/books/1429676285s/42899.jpg
1283,Easy ,Tammara Webber,romance,2012,4.1,202897,https://images.gr-assets.com/books/1349370267s/16056408.jpg
1284,The One ,Kiera Cass,romance,2014,4.21,292372,https://images.gr-assets.com/books/1395612906s/18635016.jpg
1285,If I Stay ,Gayle Forman,romance,2009,3.95,642204,https://images.gr-assets.com/books/1347462970s/4374400.jpg
1286,Matched ,Ally Condie,romance,2010,3.67,588133,https://images.gr-assets.com/books/1367706191s/7735333.jpg
1287,Dear John ,Nicholas Sparks,romance,2006,4.03,496452,https://images.gr-assets.com/books/1397749854s/5526.jpg
1288,The Night Circus ,Erin Morgenstern,romance,2011,4.04,555896,https://images.gr-assets.com/books/1387124618s/9361589.jpg
1289,Hopeless ,Colleen Hoover,romance,2012,4.31,234396,https://images.gr-assets.com/books/1353489892s/15717943.jpg
1290,Dragonfly in Amber ,Diana Gabaldon,romance,1992,4.32,246395,https://images.gr-assets.com/books/1456114344s/5364.jpg
1291,The Hating Game ,Sally  Thorne,romance,2016,4.22,66745,https://images.gr-assets.com/books/1467138679s/25883848.jpg
1292,Catching Fire ,Suzanne Collins,romance,2009,4.29,2165870,https://images.gr-assets.com/books/1358273780s/6148028.jpg
1293,Perfect Chemistry ,Simone Elkeles,romance,2008,4.07,223317,https://images.gr-assets.com/books/1439792475s/4268157.jpg
1294,Delirium ,Lauren Oliver,romance,2011,3.98,386831,https://images.gr-assets.com/books/1327890411s/11614718.jpg
1295,Shiver ,Maggie Stiefvater,romance,2009,3.77,398091,https://images.gr-assets.com/books/1409283154s/6068551.jpg
1296,The Kiss Quotient ,Helen Hoang,romance,2018,3.96,46775,https://images.gr-assets.com/books/1527983633s/36199084.jpg
1297,The Host ,Stephenie Meyer,romance,2008,3.84,819670,https://images.gr-assets.com/books/1318009171s/1656001.jpg
1298,Cinder ,Marissa Meyer,romance,2012,4.15,565173,https://images.gr-assets.com/books/1507557775s/36381037.jpg
1299,The Princess Bride ,William Goldman,romance,1973,4.26,698403,https://images.gr-assets.com/books/1327903636s/21787.jpg
1300,Twilight ,Stephenie Meyer,romance,2005,3.58,4356707,https://images.gr-assets.com/books/1361039443s/41865.jpg
1301,Pride and Prejudice ,Jane Austen,romance,1813,4.25,2516320,https://images.gr-assets.com/books/1320399351s/1885.jpg
1302,The Fault in Our Stars ,John Green,romance,2012,4.24,2961319,https://images.gr-assets.com/books/1360206420s/11870085.jpg
1303,Fifty Shades of Grey ,E.L. James,romance,2011,3.66,1638933,https://images.gr-assets.com/books/1385207843s/10818853.jpg
1304,New Moon ,Stephenie Meyer,romance,2006,3.53,1286572,https://images.gr-assets.com/books/1361039440s/49041.jpg
1305,Eclipse ,Stephenie Meyer,romance,2007,3.69,1260276,https://images.gr-assets.com/books/1361038355s/428263.jpg
1306,Outlander ,Diana Gabaldon,romance,1991,4.22,692454,https://images.gr-assets.com/books/1529065012s/10964.jpg
1307,Breaking Dawn ,Stephenie Meyer,romance,2008,3.7,1171677,https://images.gr-assets.com/books/1361039438s/1162543.jpg
1308,The Notebook ,Nicholas Sparks,romance,1996,4.08,1164506,https://images.gr-assets.com/books/1483183484s/33648131.jpg
1309,Eleanor & Park ,Rainbow Rowell,romance,2013,4.09,715368,https://images.gr-assets.com/books/1341952742s/15745753.jpg
1310,Me Before You ,Jojo Moyes,romance,2012,4.26,910886,https://images.gr-assets.com/books/1539892546s/17347634.jpg
1311,Fifty Shades Darker ,E.L. James,romance,2011,3.86,668524,https://images.gr-assets.com/books/1358266080s/11857408.jpg
1312,Jane Eyre ,Charlotte Brontë,romance,1847,4.11,1412428,https://images.gr-assets.com/books/1327867269s/10210.jpg
1313,The Time Traveler's Wife ,Audrey Niffenegger,romance,2003,3.96,1427754,https://images.gr-assets.com/books/1380660571s/18619684.jpg
1314,Fifty Shades Freed ,E.L. James,romance,2012,3.87,646622,https://images.gr-assets.com/books/1336418837s/13536860.jpg
1315,Beautiful Disaster ,Jamie McGuire,romance,2011,4.12,488830,https://images.gr-assets.com/books/1358259032s/11505797.jpg
1316,The Selection ,Kiera Cass,romance,2012,4.14,697945,https://images.gr-assets.com/books/1322103400s/10507293.jpg
1317,Anna and the French Kiss ,Stephanie Perkins,romance,2010,4.03,328539,https://images.gr-assets.com/books/1358271931s/6936382.jpg
1318,Romeo and Juliet ,William Shakespeare,romance,1597,3.74,1839316,https://images.gr-assets.com/books/1327872146s/18135.jpg
1319,A Walk to Remember ,Nicholas Sparks,romance,1999,4.16,594133,https://images.gr-assets.com/books/1498755310s/35545737.jpg
1320,Fangirl ,Rainbow Rowell,romance,2013,4.09,466749,https://images.gr-assets.com/books/1355886270s/16068905.jpg
1321,Wuthering Heights ,Emily Brontë,romance,1847,3.84,1147893,https://images.gr-assets.com/books/1388212715s/6185.jpg
1322,Sense and Sensibility ,Jane Austen,romance,1811,4.06,851808,https://images.gr-assets.com/books/1397245675s/14935.jpg
1323,Divergent ,Veronica Roth,romance,2011,4.21,2546604,https://images.gr-assets.com/books/1328559506s/13335037.jpg
1324,Bared to You ,Sylvia Day,romance,2012,4.19,417377,https://images.gr-assets.com/books/1433411511s/20448515.jpg
1325,A Court of Thorns and Roses ,Sarah J. Maas,romance,2015,4.27,303336,https://images.gr-assets.com/books/1546406962s/16096824.jpg
1326,City of Bones ,Cassandra Clare,romance,2007,4.11,1411272,https://images.gr-assets.com/books/1432730315s/256683.jpg
1327,The Elite ,Kiera Cass,romance,2013,4.02,328256,https://images.gr-assets.com/books/1391454595s/16248068.jpg
1328,To All the Boys I've Loved Before ,Jenny Han,romance,2014,4.15,291113,https://images.gr-assets.com/books/1372086100s/15749186.jpg
1329,Emma ,Jane Austen,romance,1815,3.99,557715,https://images.gr-assets.com/books/1373627931s/6969.jpg
1330,The Hunger Games ,Suzanne Collins,romance,2008,4.33,5633350,https://images.gr-assets.com/books/1447303603s/2767052.jpg
1331,Persuasion ,Jane Austen,romance,1817,4.13,461255,https://images.gr-assets.com/books/1385172413s/2156.jpg
1332,Dark Lover ,J.R. Ward,romance,2005,4.21,261373,https://images.gr-assets.com/books/1429676285s/42899.jpg
1333,Easy ,Tammara Webber,romance,2012,4.1,202897,https://images.gr-assets.com/books/1349370267s/16056408.jpg
1334,The One ,Kiera Cass,romance,2014,4.21,292372,https://images.gr-assets.com/books/1395612906s/18635016.jpg
1335,If I Stay ,Gayle Forman,romance,2009,3.95,642204,https://images.gr-assets.com/books/1347462970s/4374400.jpg
1336,Matched ,Ally Condie,romance,2010,3.67,588133,https://images.gr-assets.com/books/1367706191s/7735333.jpg
1337,Dear John ,Nicholas Sparks,romance,2006,4.03,496452,https://images.gr-assets.com/books/1397749854s/5526.jpg
1338,The Night Circus ,Erin Morgenstern,romance,2011,4.04,555896,https://images.gr-assets.com/books/1387124618s/9361589.jpg
1339,Hopeless ,Colleen Hoover,romance,2012,4.31,234396,https://images.gr-assets.com/books/1353489892s/15717943.jpg
1340,Dragonfly in Amber ,Diana Gabaldon,romance,1992,4.32,246395,https://images.gr-assets.com/books/1456114344s/5364.jpg
1341,The Hating Game ,Sally  Thorne,romance,2016,4.22,66745,https://images.gr-assets.com/books/1467138679s/25883848.jpg
1342,Catching Fire ,Suzanne Collins,romance,2009,4.29,2165870,https://images.gr-assets.com/books/1358273780s/6148028.jpg
1343,Perfect Chemistry ,Simone Elkeles,romance,2008,4.07,223317,https://images.gr-assets.com/books/1439792475s/4268157.jpg
1344,Delirium ,Lauren Oliver,romance,2011,3.98,386831,https://images.gr-assets.com/books/1327890411s/11614718.jpg
1345,Shiver ,Maggie Stiefvater,romance,2009,3.77,398091,https://images.gr-assets.com/books/1409283154s/6068551.jpg
1346,The Kiss Quotient ,Helen Hoang,romance,2018,3.96,46775,https://images.gr-assets.com/books/1527983633s/36199084.jpg
1347,The Host ,Stephenie Meyer,romance,2008,3.84,819670,https://images.gr-assets.com/books/1318009171s/1656001.jpg
1348,Cinder ,Marissa Meyer,romance,2012,4.15,565173,https://images.gr-assets.com/books/1507557775s/36381037.jpg
1349,The Princess Bride ,William Goldman,romance,1973,4.26,698403,https://images.gr-assets.com/books/1327903636s/21787.jpg
1350,Twilight ,Stephenie Meyer,romance,2005,3.58,4356707,https://images.gr-assets.com/books/1361039443s/41865.jpg
1351,Pride and Prejudice ,Jane Austen,romance,1813,4.25,2516320,https://images.gr-assets.com/books/1320399351s/1885.jpg
1352,The Fault in Our Stars ,John Green,romance,2012,4.24,2961319,https://images.gr-assets.com/books/1360206420s/11870085.jpg
1353,Fifty Shades of Grey ,E.L. James,romance,2011,3.66,1638933,https://images.gr-assets.com/books/1385207843s/10818853.jpg
1354,New Moon ,Stephenie Meyer,romance,2006,3.53,1286572,https://images.gr-assets.com/books/1361039440s/49041.jpg
1355,Eclipse ,Stephenie Meyer,romance,2007,3.69,1260276,https://images.gr-assets.com/books/1361038355s/428263.jpg
1356,Outlander ,Diana Gabaldon,romance,1991,4.22,692454,https://images.gr-assets.com/books/1529065012s/10964.jpg
1357,Breaking Dawn ,Stephenie Meyer,romance,2008,3.7,1171677,https://images.gr-assets.com/books/1361039438s/1162543.jpg
1358,The Notebook ,Nicholas Sparks,romance,1996,4.08,1164506,https://images.gr-assets.com/books/1483183484s/33648131.jpg
1359,Eleanor & Park ,Rainbow Rowell,romance,2013,4.09,715368,https://images.gr-assets.com/books/1341952742s/15745753.jpg
1360,Me Before You ,Jojo Moyes,romance,2012,4.26,910886,https://images.gr-assets.com/books/1539892546s/17347634.jpg
1361,Fifty Shades Darker ,E.L. James,romance,2011,3.86,668524,https://images.gr-assets.com/books/1358266080s/11857408.jpg
1362,Jane Eyre ,Charlotte Brontë,romance,1847,4.11,1412428,https://images.gr-assets.com/books/1327867269s/10210.jpg
1363,The Time Traveler's Wife ,Audrey Niffenegger,romance,2003,3.96,1427754,https://images.gr-assets.com/books/1380660571s/18619684.jpg
1364,Fifty Shades Freed ,E.L. James,romance,2012,3.87,646622,https://images.gr-assets.com/books/1336418837s/13536860.jpg
1365,Beautiful Disaster ,Jamie McGuire,romance,2011,4.12,488830,https://images.gr-assets.com/books/1358259032s/11505797.jpg
1366,The Selection ,Kiera Cass,romance,2012,4.14,697945,https://images.gr-assets.com/books/1322103400s/10507293.jpg
1367,Anna and the French Kiss ,Stephanie Perkins,romance,2010,4.03,328539,https://images.gr-assets.com/books/1358271931s/6936382.jpg
1368,Romeo and Juliet ,William Shakespeare,romance,1597,3.74,1839316,https://images.gr-assets.com/books/1327872146s/18135.jpg
1369,A Walk to Remember ,Nicholas Sparks,romance,1999,4.16,594133,https://images.gr-assets.com/books/1498755310s/35545737.jpg
1370,Fangirl ,Rainbow Rowell,romance,2013,4.09,466749,https://images.gr-assets.com/books/1355886270s/16068905.jpg
1371,Wuthering Heights ,Emily Brontë,romance,1847,3.84,1147893,https://images.gr-assets.com/books/1388212715s/6185.jpg
1372,Sense and Sensibility ,Jane Austen,romance,1811,4.06,851808,https://images.gr-assets.com/books/1397245675s/14935.jpg
1373,Divergent ,Veronica Roth,romance,2011,4.21,2546604,https://images.gr-assets.com/books/1328559506s/13335037.jpg
1374,Bared to You ,Sylvia Day,romance,2012,4.19,417377,https://images.gr-assets.com/books/1433411511s/20448515.jpg
1375,A Court of Thorns and Roses ,Sarah J. Maas,romance,2015,4.27,303336,https://images.gr-assets.com/books/1546406962s/16096824.jpg
1376,City of Bones ,Cassandra Clare,romance,2007,4.11,1411272,https://images.gr-assets.com/books/1432730315s/256683.jpg
1377,The Elite ,Kiera Cass,romance,2013,4.02,328256,https://images.gr-assets.com/books/1391454595s/16248068.jpg
1378,To All the Boys I've Loved Before ,Jenny Han,romance,2014,4.15,291113,https://images.gr-assets.com/books/1372086100s/15749186.jpg
1379,Emma ,Jane Austen,romance,1815,3.99,557715,https://images.gr-assets.com/books/1373627931s/6969.jpg
1380,The Hunger Games ,Suzanne Collins,romance,2008,4.33,5633350,https://images.gr-assets.com/books/1447303603s/2767052.jpg
1381,Persuasion ,Jane Austen,romance,1817,4.13,461255,https://images.gr-assets.com/books/1385172413s/2156.jpg
1382,Dark Lover ,J.R. Ward,romance,2005,4.21,261373,https://images.gr-assets.com/books/1429676285s/42899.jpg
1383,Easy ,Tammara Webber,romance,2012,4.1,202897,https://images.gr-assets.com/books/1349370267s/16056408.jpg
1384,The One ,Kiera Cass,romance,2014,4.21,292372,https://images.gr-assets.com/books/1395612906s/18635016.jpg
1385,If I Stay ,Gayle Forman,romance,2009,3.95,642204,https://images.gr-assets.com/books/1347462970s/4374400.jpg
1386,Matched ,Ally Condie,romance,2010,3.67,588133,https://images.gr-assets.com/books/1367706191s/7735333.jpg
1387,Dear John ,Nicholas Sparks,romance,2006,4.03,496452,https://images.gr-assets.com/books/1397749854s/5526.jpg
1388,The Night Circus ,Erin Morgenstern,romance,2011,4.04,555896,https://images.gr-assets.com/books/1387124618s/9361589.jpg
1389,Hopeless ,Colleen Hoover,romance,2012,4.31,234396,https://images.gr-assets.com/books/1353489892s/15717943.jpg
1390,Dragonfly in Amber ,Diana Gabaldon,romance,1992,4.32,246395,https://images.gr-assets.com/books/1456114344s/5364.jpg
1391,The Hating Game ,Sally  Thorne,romance,2016,4.22,66745,https://images.gr-assets.com/books/1467138679s/25883848.jpg
1392,Catching Fire ,Suzanne Collins,romance,2009,4.29,2165870,https://images.gr-assets.com/books/1358273780s/6148028.jpg
1393,Perfect Chemistry ,Simone Elkeles,romance,2008,4.07,223317,https://images.gr-assets.com/books/1439792475s/4268157.jpg
1394,Delirium ,Lauren Oliver,romance,2011,3.98,386831,https://images.gr-assets.com/books/1327890411s/11614718.jpg
1395,Shiver ,Maggie Stiefvater,romance,2009,3.77,398091,https://images.gr-assets.com/books/1409283154s/6068551.jpg
1396,The Kiss Quotient ,Helen Hoang,romance,2018,3.96,46775,https://images.gr-assets.com/books/1527983633s/36199084.jpg
1397,The Host ,Stephenie Meyer,romance,2008,3.84,819670,https://images.gr-assets.com/books/1318009171s/1656001.jpg
1398,Cinder ,Marissa Meyer,romance,2012,4.15,565173,https://images.gr-assets.com/books/1507557775s/36381037.jpg
1399,The Princess Bride ,William Goldman,romance,1973,4.26,698403,https://images.gr-assets.com/books/1327903636s/21787.jpg
1400,The Da Vinci Code ,Dan Brown,thriller,2003,3.82,1697244,https://images.gr-assets.com/books/1546100524s/968.jpg
1401,The Girl on the Train ,Paula Hawkins,thriller,2015,3.9,1650360,https://images.gr-assets.com/books/1490903702s/22557272.jpg
1402,Gone Girl ,Gillian Flynn,thriller,2012,4.06,1918791,https://images.gr-assets.com/books/1397056917s/19288043.jpg
1403,The Girl with the Dragon Tattoo ,Stieg Larsson,thriller,2005,4.13,2239168,https://images.gr-assets.com/books/1327868566s/2429135.jpg
1404,Angels & Demons  ,Dan Brown,thriller,2000,3.88,2343098,https://images.gr-assets.com/books/1527091700s/960.jpg
1405,The Girl Who Played with Fire ,Stieg Larsson,thriller,2006,4.23,733437,https://images.gr-assets.com/books/1351778881s/5060378.jpg
1406,The Girl Who Kicked the Hornet's Nest ,Stieg Larsson,thriller,2007,4.22,581762,https://images.gr-assets.com/books/1327708260s/6892870.jpg
